dias;S;I;R;N
101;-228.80419061640316;973.9486457052799;254.85554491112387;1000.0000000000006
102;439.72640413121246;507.2969806404438;52.976615228344286;1000.0000000000006
103;-229.4892272397185;975.71741515651;253.77181208320897;1000.0000000000005
104;442.26067958609076;506.8007092720359;50.938611141873764;1000.0000000000005
105;-230.1533987059994;977.4422108675037;252.71118783849602;1000.0000000000003
106;444.7315419035871;506.3197109204723;48.94874717594112;1000.0000000000005
107;-230.79749529793332;979.1242559751995;251.67323932273428;1000.0000000000005
108;447.14078229565234;505.8533965576189;47.00582114672909;1000.0000000000003
109;-231.4222680954074;980.7647308251237;250.6575372702841;1000.0000000000005
110;449.4901273311882;505.40120713111435;45.10866553769799;1000.0000000000006
111;-232.0284315089142;982.3647751018942;249.6636564070206;1000.0000000000007
112;451.78124230058506;504.96261156780605;43.25614613160948;1000.0000000000007
113;-232.6166656077686;983.9254898072702;248.6911758004989;1000.0000000000005
114;454.0157343286046;504.53710494420625;41.4471607271897;1000.0000000000006
115;-233.18761826321145;985.447939100078;247.73967916313404;1000.0000000000006
116;456.19515526020075;504.12420680705753;39.6806379327422;1000.0000000000005
117;-233.74190712411269;986.9331520106646;246.80875511344865;1000.0000000000006
118;458.321004340841;503.7234596292074;37.95553602995216;1000.0000000000005
119;-234.28012144106322;988.3821240411808;245.8979973998831;1000.0000000000007
120;460.3947307105683;503.3344273875965;36.27084190183584;1000.0000000000007
121;-234.80282375284355;989.7958186617136;245.00700509113048;1000.0000000000006
122;462.41773572874;502.9566942517636;34.625570019496934;1000.0000000000007
123;-235.31055144779816;991.175168711264;244.13538273653472;1000.0000000000005
124;464.39137514463755;502.58986337247654;33.01876148288642;1000.0000000000005
125;-235.80381821126218;992.5210777115798;243.28274049968286;1000.0000000000005
126;466.31696112737995;502.23355576131587;31.449483111304573;1000.0000000000005
127;-236.28311536906608;993.8344211010685;242.448694267998;1000.0000000000005
128;468.19576416725226;501.8874092529567;29.916826579791575;1000.0000000000005
129;-236.7489131360793;995.1160473952539;241.63286574082593;1000.0000000000005
130;470.02901485921325;501.5510775428213;28.41990759796593;1000.0000000000005
131;-237.20166177787428;996.3667792796214;240.83488249825336;1000.0000000000005
132;471.8179055783097;501.2242292934973;26.957865128193475;1000.0000000000005
133;-237.64179269277145;997.5874146401143;240.05437805265757;1000.0000000000005
134;473.56359205570016;500.906547304018;25.529860640282237;1000.0000000000003
135;-238.0697194208276;998.778727536046;239.29099188478207;1000.0000000000005
136;475.2671948631654;500.5977277366779;24.135077400157144;1000.0000000000005
137;-238.4858385856911;999.9414691197421;238.54436946594942;1000.0000000000005
138;476.92980081319786;500.29747939659376;22.772719790208868;1000.0000000000005
139;-238.8905307746894;1001.0763685068301;237.8141622678598;1000.0000000000006
140;478.55246428109626;500.00552305968404;21.442012659220154;1000.0000000000005
141;-239.28416136201463;1002.184133600735;237.10002776128016;1000.0000000000005
142;480.13620845489265;499.7215908451507;20.14220069995713;1000.0000000000005
143;-239.6670812794208;1003.2654518746247;236.40162940479678;1000.0000000000007
144;481.6820265183908;499.4454256289252;18.872547852684733;1000.0000000000008
145;-240.03962773845194;1004.3209911137603;235.71863662469238;1000.0000000000008
146;483.1908827721285;499.1767804948625;17.632336733009737;1000.0000000000008
147;-240.40212490785643;1005.351400120954;235.050724786903;1000.0000000000007
148;484.66371369664137;498.91541822076675;16.42086808259242;1000.0000000000006
149;-240.75488454952801;1006.3573093876079;234.3975751619207;1000.0000000000006
150;486.10142896203354;498.6611107965844;15.237460241382536;1000.0000000000006
151;-241.09820661601032;1007.3393317325908;233.75887488341988;1000.0000000000005
152;487.5049123874836;498.4136389723634;14.081448640153496;1000.0000000000005
153;-241.43237981236314;1008.298062911045;233.13431690131856;1000.0000000000005
154;488.87502285406515;498.1727918337459;12.952185312189187;1000.0000000000002
155;-241.75768212492278;1009.2340821950135;232.52359992990966;1000.0000000000003
156;490.21259517389797;497.93836640301316;11.849038423089212;1000.0000000000005
157;-242.07438131931917;1010.1479529276698;231.92642839164958;1000.0000000000002
158;491.5184409185081;497.710167263788;10.77139181770417;1000.0000000000002
159;-242.38273540985278;1011.0402230527361;231.34251235711693;1000.0000000000002
160;492.79334920887686;497.4880062077867;9.718644583336697;1000.0000000000002
161;-242.68299310226837;1011.9114256206306;230.77156748163807;1000.0000000000002
162;494.0380874697257;497.27170190194886;8.690210628325673;1000.0000000000002
163;-242.97539421163742;1012.762079272656;230.21331493898168;1000.0000000000002
164;495.2534021499762;497.06107957470476;7.685518275319396;1000.0000000000003
165;-243.26017005716164;1013.5926887046043;229.6674813525576;1000.0000000000002
166;496.4400194117716;496.8559707198194;6.704009868409145;1000.0000000000001
167;-243.5375438352337;1014.4037451108189;229.1337987244149;1000.0000000000001
168;497.5986457894202;496.6562128169702;5.745141393609771;1000.0000000000001
169;-243.80773097245924;1015.1957266100112;228.6120043624481;1000.0
170;498.72996882071254;496.4616490674431;4.808382111844509;1000.0000000000001
171;-244.07093945954375;1015.9690986535617;228.10184080598228;1000.0000000000002
172;499.8346576511783;496.27212814465656;3.893214204165332;1000.0000000000002
173;-244.32737016783994;1016.7243144176621;227.60305575017804;1000.0000000000002
174;500.91336361426227;496.0875039575245;2.999132428213386;1000.0000000000002
175;-244.5772171488395;1017.4618151795921;227.11540196924759;1000.0000000000002
176;501.96672078665506;495.9076354272896;2.125643786055548;1000.0000000000002
177;-244.82066791884688;1018.1820306797881;226.63863723905897;1000.0000000000002
178;502.9953465231339;495.7323862748734;1.2722672019929462;1000.0000000000002
179;-245.0579037280762;1018.8853794692635;226.17252425881296;1000.0000000000002
180;503.9998419676933;495.56162482108493;0.4385332112219942;1000.0000000000002
181;-245.28909981754714;1019.572269244833;225.71683057271426;1000.0000000000001
182;504.9807925484495;495.395223794545;-0.37601634299440434;1000.0000000000001
183;-245.51442566100798;1020.2430971702838;225.2713284907244;1000.0000000000002
184;505.93876844810256;495.2330601531527;-1.171828601255072;1000.0000000000002
185;-245.73404519791086;1020.8982501877977;224.83579501011346;1000.0000000000002
186;506.87432506443827;495.07501490905645;-1.949339973494574;1000.0000000000001
187;-245.94811705044583;1021.5381053148047;224.41001173564123;1000.0000000000001
